route,crs_dep_hour,airtime_mean
ABQ_OAK,16,125.43478260869566
ABQ_OAK,17,123.53333333333332
ABQ_OAK,18,123.0909090909091
ABQ_OAK,19,126.34920634920636
ABQ_OAK,20,125.75757575757575
ABQ_OAK,21,126.8181818181818
ABQ_OAK,22,121.1875
ABQ_ORD,5,139.390243902439
ABQ_ORD,6,143.1358024691358
ABQ_ORD,7,140.1401098901099
ABQ_ORD,8,141.22972972972974
ABQ_ORD,9,138.0
ABQ_ORD,10,137.64285714285714
ABQ_ORD,11,141.8095238095238
ABQ_ORD,12,143.1592505854801
ABQ_ORD,13,139.7446569178853
ABQ_ORD,14,141.71559633027522
ABQ_ORD,15,140.1060606060606
ABQ_ORD,16,146.31944444444446
ABQ_ORD,17,131.0952380952381
ABQ_ORD,19,131.0
ABQ_PDX,10,150.4915254237288
ABQ_PDX,12,164.56756756756758
ABQ_PDX,13,164.90361445783134
ABQ_PDX,14,166.11724137931034
ABQ_PDX,15,157.0843373493976
ABQ_PDX,16,158.03703703703704
ABQ_PDX,18,159.07462686567163
ABQ_PDX,19,159.60629921259843
ABQ_PDX,20,158.42307692307693
ABQ_PHX,5,55.60135135135136
ABQ_PHX,6,57.1558872305141
ABQ_PHX,7,57.129985228951256
ABQ_PHX,8,58.65729585006694
ABQ_PHX,9,56.49847094801223
ABQ_PHX,10,56.388888888888886
ABQ_PHX,11,55.40099833610649
ABQ_PHX,12,56.53896103896104
ABQ_PHX,13,55.12785388127854
ABQ_PHX,14,54.350746268656714
ABQ_PHX,15,55.512968299711815
ABQ_PHX,16,54.66741573033708
ABQ_PHX,17,55.73960612691466
ABQ_PHX,18,56.22657580919932
ABQ_PHX,19,54.968992248062015
ABQ_PHX,20,54.5
ABQ_PHX,21,54.0
ABQ_PHX,22,58.2
ABQ_SAN,6,93.34408602150538
ABQ_SAN,7,91.8798076923077
ABQ_SAN,8,97.18627450980392
ABQ_SAN,9,91.78260869565216
ABQ_SAN,10,93.42307692307692
ABQ_SAN,11,94.6969696969697
ABQ_SAN,12,93.45588235294116
ABQ_SAN,13,92.04918032786884
ABQ_SAN,14,90.20833333333331
ABQ_SAN,15,93.2093023255814
ABQ_SAN,16,92.984126984127
ABQ_SAN,17,98.89285714285714
ABQ_SAN,18,91.55696202531644
ABQ_SAN,19,93.68
ABQ_SAN,20,91.82
ABQ_SAN,21,90.0909090909091
ABQ_SAN,22,87.78048780487805
ABQ_SAT,9,83.33333333333333
ABQ_SAT,10,81.33333333333333
ABQ_SAT,11,80.0
ABQ_SAT,14,79.66666666666667
ABQ_SAT,15,79.66666666666667
ABQ_SAT,16,79.66666666666667
ABQ_SAT,17,80.23076923076923
ABQ_SEA,6,173.17241379310346
ABQ_SEA,7,168.032
ABQ_SEA,8,170.75652173913045
ABQ_SEA,9,166.24460431654677
ABQ_SEA,12,167.58252427184465
ABQ_SEA,13,167.4375
ABQ_SEA,14,163.11214953271028
ABQ_SEA,15,164.9923076923077
ABQ_SEA,16,160.21176470588236
ABQ_SEA,17,172.70833333333334
ABQ_SEA,18,173.17073170731706
ABQ_SEA,19,166.4923076923077
ABQ_SEA,20,170.26168224299064
ABQ_SFB,23,183.66666666666663
ABQ_SFO,5,140.11111111111111
ABQ_SFO,6,134.70824524312897
ABQ_SFO,7,134.05882352941177
ABQ_SFO,8,130.89156626506025
ABQ_SFO,11,128.94202898550725
ABQ_SFO,13,127.94666666666669
ABQ_SFO,15,132.36314363143632
ABQ_SFO,16,133.18705035971223
ABQ_SFO,20,130.3921568627451
ABQ_SJC,7,135.33333333333334
ABQ_SJC,8,126.84615384615384
ABQ_SJC,9,126.33333333333331
ABQ_SJC,11,124.45454545454544
ABQ_SJC,12,121.82142857142856
ABQ_SJC,13,125.2
ABQ_SJC,14,117.25
ABQ_SJC,15,112.0
ABQ_SJC,16,121.55555555555556
ABQ_SJC,17,125.96
ABQ_SJC,18,124.6
ABQ_SJC,19,124.75
ABQ_SLC,0,77.0
ABQ_SLC,5,77.57943925233644
ABQ_SLC,6,76.68189806678383
ABQ_SLC,7,80.83018867924528
ABQ_SLC,8,80.97540983606558
ABQ_SLC,11,76.0909090909091
ABQ_SLC,12,78.13598673300166
ABQ_SLC,13,77.16279069767442
ABQ_SLC,14,77.28125
ABQ_SLC,17,78.1644204851752
ABQ_SLC,18,78.67329545454545
ABQ_SLC,19,80.0
ABQ_SNA,11,90.0
ABQ_SNA,12,97.98039215686276
ABQ_SNA,13,96.64864864864865
ABQ_SNA,15,93.0
ABQ_SNA,16,100.47058823529412
ABR_MSP,5,45.553763440860216
ABR_MSP,6,44.78114478114478
ABR_MSP,7,45.023809523809526
ABR_MSP,8,47.333333333333336
ABR_MSP,10,47.47058823529412
ABR_MSP,12,46.47368421052632
ABR_MSP,13,46.603092783505154
ABR_MSP,15,45.691489361702125
ABR_MSP,17,45.52808988764045
ABR_MSP,22,41.0
ABY_ATL,6,36.34117647058824
ABY_ATL,7,37.44094488188976
ABY_ATL,8,38.12820512820513
ABY_ATL,11,37.87241379310345
ABY_ATL,12,36.429951690821255
ABY_ATL,13,36.04220779220779
ABY_ATL,14,37.03921568627451
ABY_ATL,15,35.95522388059702
ABY_ATL,16,37.20673076923077
ABY_ATL,17,36.69777777777778
ABY_ATL,21,38.0
ACK_BGR,19,43.2
ACK_BOS,9,28.794117647058822
ACK_BOS,10,25.65909090909091
ACK_BOS,11,24.73333333333333
ACK_BOS,12,24.33333333333333
ACK_BOS,13,25.9
ACK_BOS,14,24.693877551020407
ACK_BOS,15,26.08333333333333
ACK_BOS,16,26.0
ACK_BOS,17,25.964285714285715
ACK_BOS,18,25.88888888888889
ACK_BOS,19,25.176470588235293
ACK_CLT,11,119.2
ACK_CLT,14,118.1818181818182
ACK_CLT,16,115.70588235294116
ACK_EWR,9,55.70588235294117
ACK_EWR,10,54.43298969072165
ACK_EWR,11,53.05172413793103
ACK_EWR,12,54.93048128342246
ACK_EWR,13,56.25
ACK_EWR,14,56.943396226415096
ACK_EWR,16,56.46153846153846
ACK_EWR,17,55.2258064516129
ACK_EWR,18,52.016666666666666
ACK_EWR,20,54.12244897959184
ACK_HPN,10,39.785714285714285
ACK_HPN,11,40.5686274509804
ACK_HPN,12,42.333333333333336
ACK_HPN,13,42.51724137931034
ACK_HPN,19,40.07142857142857
ACK_IAD,12,75.18181818181819
ACK_IAD,13,79.82456140350877
ACK_IAD,14,77.46808510638297
ACK_IAD,19,77.66666666666667
ACK_JFK,7,41.04225352112676
ACK_JFK,8,40.82089552238806
ACK_JFK,10,40.333333333333336
ACK_JFK,11,41.38372093023256
ACK_JFK,12,42.98039215686274
ACK_JFK,13,39.885714285714286
ACK_JFK,14,41.03787878787879
ACK_JFK,15,41.89430894308943
ACK_JFK,16,40.56043956043956
ACK_JFK,17,42.38271604938272
ACK_JFK,18,41.46153846153846
ACK_JFK,19,40.4
ACK_JFK,20,39.63157894736842
ACK_JFK,21,40.36363636363637
ACK_JFK,22,39.63414634146341
ACK_LGA,9,47.0
ACK_LGA,10,52.0
ACK_LGA,11,49.74358974358975
ACK_LGA,12,48.72727272727273
